tconst	averageRating	numVotes
tt0000001	5.7	1990
tt0000002	5.8	265
tt0000003	6.5	1853
tt0000004	5.5	178
tt0000005	6.2	2638
tt0000006	5.0	183
tt0000007	5.4	827
tt0000008	5.4	2128
tt0000009	5.3	206
tt0000010	6.9	7235
tt0000011	5.3	369
tt0000012	7.4	12370
tt0000013	5.7	1897
tt0000014	7.1	5564
tt0000015	6.2	1099
tt0000016	5.9	1520
tt0000017	4.6	329
tt0000018	5.3	600
tt0000019	4.8	32
tt0000020	4.8	364
tt0000022	5.1	1103
tt0000023	5.7	1447
tt0000024	4.2	116
tt0000025	3.8	46
tt0000026	5.6	1549
tt0000027	5.6	1167
tt0000028	5.1	1091
tt0000029	5.9	3388
tt0000030	5.2	857
tt0000031	5.5	1012
tt0000032	5.0	421
tt0000033	5.5	1037
tt0000034	4.9	217
tt0000035	5.7	83
tt0000036	4.4	610
tt0000037	4.3	68
tt0000038	4.2	204
tt0000039	3.3	32
tt0000040	4.0	68
tt0000041	6.7	1890
tt0000042	3.9	39
tt0000043	3.2	34
tt0000044	3.8	48
tt0000045	3.8	35
tt0000046	3.9	36
tt0000047	3.3	36
tt0000048	4.8	201
tt0000049	5.0	50
tt0000050	3.9	36
tt0000051	3.4	37
tt0000052	4.2	105
tt0000053	3.1	20
tt0000054	4.7	36
tt0000055	3.4	32
tt0000056	2.8	24
tt0000057	4.2	36
tt0000058	4.0	35
tt0000059	3.2	29
tt0000060	7.4	89
tt0000061	4.1	28
tt0000062	6.3	201
tt0000063	3.2	30
tt0000064	2.8	31
tt0000065	3.1	31
tt0000066	3.0	31
tt0000067	5.5	69
tt0000068	3.5	33
tt0000069	4.9	466
tt0000070	6.4	2674
tt0000071	3.1	31
tt0000072	3.3	29
tt0000073	3.2	32
tt0000074	4.3	33
tt0000075	6.3	1950
tt0000076	4.5	540
tt0000077	4.3	37
tt0000078	3.7	89
tt0000079	4.1	37
tt0000080	3.8	33
tt0000081	3.9	34
tt0000082	4.6	51
tt0000083	4.4	34
tt0000084	4.1	32
tt0000085	4.5	35
tt0000086	3.9	35
tt0000087	4.5	39
tt0000088	4.0	34
tt0000089	6.2	1009
tt0000090	3.7	33
tt0000091	6.7	3728
tt0000092	4.2	31
tt0000093	4.7	95
tt0000094	4.2	38
tt0000095	4.6	36
tt0000096	4.1	31
tt0000097	4.6	35
tt0000098	4.9	38
tt0000099	4.4	34
tt0000100	4.7	56
